text,status
Have you noticed any differences in how you express your emotions through your facial expressions lately I've noticed that I hardly express anything anymore. My face feels numb most of the time,1
Have you noticed any differences in how you express your emotions through your facial expressions lately It's clear that my facial expressions have diminished. My face often feels numb and lacking in animation,1
Have you noticed any differences in how you express your emotions through your facial expressions lately I've noticed a decline in my ability to express emotions. My face often feels numb and devoid of feeling,1
Have you noticed any differences in how you express your emotions through your facial expressions lately I've observed that I rarely show emotions these days. My face often feels numb and unresponsive,1
Have you noticed any differences in how you express your emotions through your facial expressions lately It's clear that my facial expressions have diminished. My face often feels numb and lacking in animation,1
"Have you noticed any differences in how you express your emotions through your facial expressions lately I believe my emotional expressions remain quite consistent with how I used to show them, just with less frequency.",0
"Have you noticed any differences in how you express your emotions through your facial expressions lately I believe I'm still expressing my emotions similarly to before, although there might be a decrease in frequency.",0
"Have you noticed any differences in how you express your emotions through your facial expressions lately I think I'm still expressing my emotions in a similar way to how I used to, although it's become less frequent.",0
"Have you noticed any differences in how you express your emotions through your facial expressions lately ""From what I can tell, I'm still expressing my emotions in a manner similar to before, just not as frequently.",0
"Have you noticed any differences in how you express your emotions through your facial expressions lately I think I still express my emotions like I used to, although maybe less frequently",0
"Do you feel like your facial expressions match how you're feeling inside Not really. Even when I'm sad, I can't seem to show it on my face",1
"Do you feel like your facial expressions match how you're feeling inside Oddly, my emotions don't really reflect on my face. I could be upset inside, but you wouldn't see it.",1
"Do you feel like your facial expressions match how you're feeling inside I've always found it puzzling that my face doesn't convey my emotions accurately. Even when I'm sad, my expression remains blank",1
"Do you feel like your facial expressions match how you're feeling inside ""I've noticed that my face is quite unresponsive to my emotions. Even if I'm going through a tough time, my expression stays unchanged.",1
"Do you feel like your facial expressions match how you're feeling inside Strangely, my face doesn't react much to my emotions. I could be unhappy, but you wouldn't be able to tell from looking at me.",1
"Do you feel like your facial expressions match how you're feeling inside Definitely, my emotions tend to show on my face quite naturally.",0
"Do you feel like your facial expressions match how you're feeling inside Yes, I've noticed that my facial expressions usually give away my feelings",0
"Do you feel like your facial expressions match how you're feeling inside Yes, I've noticed that my face unintentionally reveals how I'm feeling most of the time.",0
"Do you feel like your facial expressions match how you're feeling inside Yes, I believe my facial expressions usually reflect how I'm feeling.",0
"Do you feel like your facial expressions match how you're feeling inside Yes, I've been told that my face is like an open book when it comes to my emotions",0
"Do you feel like your facial expressions match how you're feeling inside It's interesting, my face doesn't convey my feelings accurately. I could be feeling down, but you wouldn't guess from my expression.",1
How often do you find yourself genuinely smiling or laughing I find it hard to remember when was the last time I truly smiled or had a genuine laugh.,1
"How often do you find yourself genuinely smiling or laughing Lately, I've been struggling to find reasons that genuinely make me smile or laugh.",1
How often do you find yourself genuinely smiling or laughing Genuine laughter and smiles seem to have eluded me for quite some time now,1
How often do you find yourself genuinely smiling or laughing It's been some time since I felt a sincere smile or heard myself laugh genuinely,1
How often do you find yourself genuinely smiling or laughing I've realized that it's been a long time since I experienced a truly authentic smile or laughter,1
How often do you find yourself genuinely smiling or laughing I think my smiles and laughs haven't experienced substantial changes from their previous form,0
How often do you find yourself genuinely smiling or laughing I've observed that my smiles and laughs haven't shifted much from their usual pattern.,0
"How often do you find yourself genuinely smiling or laughing ""I believe my smiles and laughs continue to be quite similar to how they were before",0
"How often do you find yourself genuinely smiling or laughing As far as I can tell, my smiles and laughs haven't deviated from their usual nature.",0
How often do you find yourself genuinely smiling or laughing I think my smiles and laughs are pretty much the same as before,0
How often do you find yourself genuinely smiling or laughing I haven't noticed a significant difference in my smiles and laughs from before,0
"How comfortable are you with making eye contact with others I'm comfortable with making eye contact and believe it's important for communication.""",0
How comfortable are you with making eye contact with others  have no trouble with making eye contact and hold the belief that it greatly matters in communication.,0
"How comfortable are you with making eye contact with others""For me, making eye contact is comfortable and necessary for successful communication.",0
How comfortable are you with making eye contact with others I'm perfectly fine with making eye contact and recognize its value in facilitating meaningful communication,0
"How comfortable are you with making eye contact with others ""I'm comfortable making eye contact and believe that it plays a significant role in enhancing communication",0
"How comfortable are you with making eye contact with others Eye contact feels uncomfortable and exhausting.""",1
"How comfortable are you with making eye contact with others ""I find it challenging to engage in eye contact as it feels uncomfortable and draining",1
"How comfortable are you with making eye contact with others  I tend to feel worn out and uneasy when making eye contact, finding it uncomfortable.",1
"How comfortable are you with making eye contact with others ""I struggle with feeling comfortable during prolonged eye contact; it's draining",1
"How comfortable are you with making eye contact with others ""For me, making eye contact can be quite uncomfortable and exhausting",1
"Have you noticed any changes in how you smile or laugh compared to before When I do try to smile, it feels forced and empty",1
"Have you noticed any changes in how you smile or laugh compared to before When I put in effort to smile, it frequently ends up feeling forced and lacking meaning",1
Have you noticed any changes in how you smile or laugh compared to beforeMaking a conscious effort to smile tends to feel forced and emotionally vacant.,1
"Have you noticed any changes in how you smile or laugh compared to before ""I find that my attempts to smile often result in a forced and empty expression.""",1
"Have you noticed any changes in how you smile or laugh compared to before When I make an effort to smile, it often feels unnatural and empty to me.""",1
"Have you noticed any changes in how you smile or laugh compared to before ""I think my smiles and laughs are pretty much the same as before.""",0
"Have you noticed any changes in how you smile or laugh compared to before ""I've observed that my smiles and laughs haven't changed significantly from their previous state.""",0
"Have you noticed any changes in how you smile or laugh compared to before""As far as I can see, my smiles and laughs haven't shifted much from their previous form.""",0
"Have you noticed any changes in how you smile or laugh compared to before ""I believe my smiles and laughter have maintained a similar quality as they were before.""",0
"Have you noticed any changes in how you smile or laugh compared to before From what I can tell, my smiles and laughs haven't undergone significant alterations",0
"Do you feel like your facial expressions impact how engaged you appear in conversations Yes, I think my expressions help show that I'm engaged in the conversation",0
"Do you feel like your facial expressions impact how engaged you appear in conversations Absolutely, I believe my facial expressions demonstrate my active engagement in the conversation.",0
"Do you feel like your facial expressions impact how engaged you appear in conversations Yes, I've noticed that my expressions play a role in indicating my involvement in the conversation",0
Do you feel like your facial expressions impact how engaged you appear in conversations 've realized that my expressions serve as a way to signal my attentiveness in the conversation,0
Do you feel like your facial expressions impact how engaged you appear in conversations  I believe my expressions act as visual cues that I'm actively participating and interested in the conversation,0
"Do you feel like your facial expressions impact how engaged you appear in conversations I worry that I come across as disinterested, even when I'm trying to engage",1
Do you feel like your facial expressions impact how engaged you appear in conversations There are times when I fear my genuine attempts to engage might come off as disinterested,1
