,status,prepros_text
0,1,noticed difference express emotion facial expression lately 've noticed hardly express anything anymore . face feel numb time
1,1,noticed difference express emotion facial expression lately 's clear facial expression diminished . face often feel numb lacking animation
2,1,noticed difference express emotion facial expression lately 've noticed decline ability express emotion . face often feel numb devoid feeling
3,1,noticed difference express emotion facial expression lately 've observed rarely show emotion day . face often feel numb unresponsive
4,1,noticed difference express emotion facial expression lately 's clear facial expression diminished . face often feel numb lacking animation
5,0,"noticed difference express emotion facial expression lately believe emotional expression remain quite consistent used show , le frequency ."
6,0,"noticed difference express emotion facial expression lately believe 'm still expressing emotion similarly , although might decrease frequency ."
7,0,"noticed difference express emotion facial expression lately think 'm still expressing emotion similar way used , although 's become le frequent ."
8,0,"noticed difference express emotion facial expression lately `` tell , 'm still expressing emotion manner similar , frequently ."
9,0,"noticed difference express emotion facial expression lately think still express emotion like used , although maybe le frequently"
10,1,"feel like facial expression match 're feeling inside really . Even 'm sad , ca n't seem show face"
11,1,"feel like facial expression match 're feeling inside Oddly , emotion n't really reflect face . could upset inside , would n't see ."
12,1,"feel like facial expression match 're feeling inside 've always found puzzling face doe n't convey emotion accurately . Even 'm sad , expression remains blank"
13,1,"feel like facial expression match 're feeling inside `` 've noticed face quite unresponsive emotion . Even 'm going tough time , expression stay unchanged ."
14,1,"feel like facial expression match 're feeling inside Strangely , face doe n't react much emotion . could unhappy , would n't able tell looking ."
15,0,"feel like facial expression match 're feeling inside Definitely , emotion tend show face quite naturally ."
16,0,"feel like facial expression match 're feeling inside Yes , 've noticed facial expression usually give away feeling"
17,0,"feel like facial expression match 're feeling inside Yes , 've noticed face unintentionally reveals 'm feeling time ."
18,0,"feel like facial expression match 're feeling inside Yes , believe facial expression usually reflect 'm feeling ."
19,0,"feel like facial expression match 're feeling inside Yes , 've told face like open book come emotion"
20,1,"feel like facial expression match 're feeling inside 's interesting , face doe n't convey feeling accurately . could feeling , would n't guess expression ."
21,1,often find genuinely smiling laughing find hard remember wa last time truly smiled genuine laugh .
22,1,"often find genuinely smiling laughing Lately , 've struggling find reason genuinely make smile laugh ."
23,1,often find genuinely smiling laughing Genuine laughter smile seem eluded quite time
24,1,often find genuinely smiling laughing 's time since felt sincere smile heard laugh genuinely
25,1,often find genuinely smiling laughing 've realized 's long time since experienced truly authentic smile laughter
26,0,often find genuinely smiling laughing think smile laugh n't experienced substantial change previous form
27,0,often find genuinely smiling laughing 've observed smile laugh n't shifted much usual pattern .
28,0,often find genuinely smiling laughing `` believe smile laugh continue quite similar
29,0,"often find genuinely smiling laughing far tell , smile laugh n't deviated usual nature ."
30,0,often find genuinely smiling laughing think smile laugh pretty much
31,0,often find genuinely smiling laughing n't noticed significant difference smile laugh
32,0,comfortable making eye contact others 'm comfortable making eye contact believe 's important communication . ''
33,0,comfortable making eye contact others trouble making eye contact hold belief greatly matter communication .
34,0,"comfortable making eye contact others '' , making eye contact comfortable necessary successful communication ."
35,0,comfortable making eye contact others 'm perfectly fine making eye contact recognize value facilitating meaningful communication
36,0,comfortable making eye contact others `` 'm comfortable making eye contact believe play significant role enhancing communication
37,1,comfortable making eye contact others Eye contact feel uncomfortable exhausting . ''
38,1,comfortable making eye contact others `` find challenging engage eye contact feel uncomfortable draining
39,1,"comfortable making eye contact others tend feel worn uneasy making eye contact , finding uncomfortable ."
40,1,comfortable making eye contact others `` struggle feeling comfortable prolonged eye contact ; 's draining
41,1,"comfortable making eye contact others `` , making eye contact quite uncomfortable exhausting"
42,1,"noticed change smile laugh compared try smile , feel forced empty"
43,1,"noticed change smile laugh compared put effort smile , frequently end feeling forced lacking meaning"
44,1,noticed change smile laugh compared beforeMaking conscious effort smile tends feel forced emotionally vacant .
45,1,noticed change smile laugh compared `` find attempt smile often result forced empty expression . ''
46,1,"noticed change smile laugh compared make effort smile , often feel unnatural empty . ''"
47,0,noticed change smile laugh compared `` think smile laugh pretty much . ''
48,0,noticed change smile laugh compared `` 've observed smile laugh n't changed significantly previous state . ''
49,0,"noticed change smile laugh compared '' far see , smile laugh n't shifted much previous form . ''"
50,0,noticed change smile laugh compared `` believe smile laughter maintained similar quality . ''
51,0,"noticed change smile laugh compared tell , smile laugh n't undergone significant alteration"
52,0,"feel like facial expression impact engaged appear conversation Yes , think expression help show 'm engaged conversation"
53,0,"feel like facial expression impact engaged appear conversation Absolutely , believe facial expression demonstrate active engagement conversation ."
54,0,"feel like facial expression impact engaged appear conversation Yes , 've noticed expression play role indicating involvement conversation"
55,0,feel like facial expression impact engaged appear conversation 've realized expression serve way signal attentiveness conversation
56,0,feel like facial expression impact engaged appear conversation believe expression act visual cue 'm actively participating interested conversation
57,1,"feel like facial expression impact engaged appear conversation worry come across disinterested , even 'm trying engage"
58,1,feel like facial expression impact engaged appear conversation time fear genuine attempt engage might come disinterested
59,1,feel like facial expression impact engaged appear conversation sometimes feel anxious attempt engagement might mistaken disinterest
60,1,feel like facial expression impact engaged appear conversation 's concern mine genuine effort engaged could seen lack interest .
61,1,feel like facial expression impact engaged appear conversation often stress whether attempt engaged coming across disinterested .
62,1,"sensation tension 've noticed face expressing emotion often feel tightness face , muscle stiff"
63,1,"sensation tension 've noticed face expressing emotion `` 's common feel sort tightness face , almost like muscle stiffening"
64,1,"sensation tension 've noticed face expressing emotion 've noticed facial muscle tend feel tight , almost 're becoming stiff ."
65,1,"sensation tension 've noticed face expressing emotion 's uncommon feel tightness face , like muscle getting stiff ."
66,1,"sensation tension 've noticed face expressing emotion time notice tight feeling face , though muscle rigid ."
